Department,Book Name,Author,Publisher,Accession No
History,History Advanced Book 1337,P. Singh,Springer,ACC001337
Electronics,Electronics Advanced Book 1338,M. Khan,Cambridge,ACC001338
Law,Law Advanced Book 1339,J. Das,Oxford,ACC001339
History,History Advanced Book 1340,J. Das,Oxford,ACC001340
Pharmacy,Pharmacy Advanced Book 1341,V. Rao,Pearson,ACC001341
Education,Education Advanced Book 1342,D. Patel,Elsevier,ACC001342
Chemistry,Chemistry Advanced Book 1343,M. Khan,Wiley,ACC001343
Agriculture,Agriculture Advanced Book 1344,P. Singh,Pearson,ACC001344
Artificial Intelligence,Artificial Intelligence Advanced Book 1345,R. Kumar,Pearson,ACC001345
Pharmacy,Pharmacy Advanced Book 1346,P. Singh,Pearson,ACC001346
Physics,Physics Advanced Book 1347,S. Sharma,Oxford,ACC001347
Electrical Engineering,Electrical Engineering Advanced Book 1348,V. Rao,Wiley,ACC001348
Tamil,Tamil Advanced Book 1349,P. Singh,Elsevier,ACC001349
Architecture,Architecture Advanced Book 1350,V. Rao,Cambridge,ACC001350
Political Science,Political Science Advanced Book 1351,M. Khan,Wiley,ACC001351
Artificial Intelligence,Artificial Intelligence Advanced Book 1352,V. Rao,Cambridge,ACC001352
Computer Science,Computer Science Advanced Book 1353,S. Sharma,Wiley,ACC001353
Physics,Physics Advanced Book 1354,R. Kumar,Cambridge,ACC001354
Commerce,Commerce Advanced Book 1355,D. Patel,Elsevier,ACC001355
Data Science,Data Science Advanced Book 1356,A. Iyer,Wiley,ACC001356
Management,Management Advanced Book 1357,J. Das,Springer,ACC001357
Economics,Economics Advanced Book 1358,D. Patel,Elsevier,ACC001358
Artificial Intelligence,Artificial Intelligence Advanced Book 1359,D. Patel,Springer,ACC001359
Data Science,Data Science Advanced Book 1360,J. Das,Pearson,ACC001360
Psychology,Psychology Advanced Book 1361,A. Iyer,Elsevier,ACC001361
Management,Management Advanced Book 1362,V. Rao,Wiley,ACC001362
Philosophy,Philosophy Advanced Book 1363,A. Iyer,Wiley,ACC001363
History,History Advanced Book 1364,P. Singh,McGraw Hill,ACC001364
Artificial Intelligence,Artificial Intelligence Advanced Book 1365,M. Khan,Wiley,ACC001365
Information Technology,Information Technology Advanced Book 1366,P. Singh,Oxford,ACC001366
Hindi,Hindi Advanced Book 1367,A. Iyer,Cambridge,ACC001367
Chemistry,Chemistry Advanced Book 1368,R. Kumar,Pearson,ACC001368
Psychology,Psychology Advanced Book 1369,M. Khan,Cambridge,ACC001369
Chemical Engineering,Chemical Engineering Advanced Book 1370,J. Das,Elsevier,ACC001370
Electronics,Electronics Advanced Book 1371,R. Kumar,Wiley,ACC001371
Electrical Engineering,Electrical Engineering Advanced Book 1372,J. Das,Elsevier,ACC001372
Electrical Engineering,Electrical Engineering Advanced Book 1373,P. Singh,Oxford,ACC001373
Civil Engineering,Civil Engineering Advanced Book 1374,D. Patel,Springer,ACC001374
Electronics,Electronics Advanced Book 1375,A. Iyer,Wiley,ACC001375
Mathematics,Mathematics Advanced Book 1376,R. Kumar,Cambridge,ACC001376
Data Science,Data Science Advanced Book 1377,V. Rao,Wiley,ACC001377
Electrical Engineering,Electrical Engineering Advanced Book 1378,A. Iyer,Cambridge,ACC001378
Psychology,Psychology Advanced Book 1379,V. Rao,Wiley,ACC001379
Education,Education Advanced Book 1380,M. Khan,Oxford,ACC001380
Sociology,Sociology Advanced Book 1381,P. Singh,Cambridge,ACC001381
English,English Advanced Book 1382,S. Sharma,Pearson,ACC001382
Environmental Science,Environmental Science Advanced Book 1383,S. Sharma,Cambridge,ACC001383
Physics,Physics Advanced Book 1384,M. Khan,Springer,ACC001384
Management,Management Advanced Book 1385,P. Singh,Springer,ACC001385
Pharmacy,Pharmacy Advanced Book 1386,R. Kumar,Pearson,ACC001386
Psychology,Psychology Advanced Book 1387,P. Singh,Elsevier,ACC001387
English,English Advanced Book 1388,R. Kumar,McGraw Hill,ACC001388
Computer Science,Computer Science Advanced Book 1389,R. Kumar,Springer,ACC001389
Education,Education Advanced Book 1390,S. Sharma,Elsevier,ACC001390
Computer Science,Computer Science Advanced Book 1391,D. Patel,Cambridge,ACC001391
Nursing,Nursing Advanced Book 1392,S. Sharma,Springer,ACC001392
Architecture,Architecture Advanced Book 1393,V. Rao,Pearson,ACC001393
Pharmacy,Pharmacy Advanced Book 1394,D. Patel,Cambridge,ACC001394
Mathematics,Mathematics Advanced Book 1395,A. Iyer,Cambridge,ACC001395
Tamil,Tamil Advanced Book 1396,M. Khan,McGraw Hill,ACC001396
Artificial Intelligence,Artificial Intelligence Advanced Book 1397,J. Das,McGraw Hill,ACC001397
Artificial Intelligence,Artificial Intelligence Advanced Book 1398,D. Patel,Wiley,ACC001398
Computer Science,Computer Science Advanced Book 1399,P. Singh,Pearson,ACC001399
Chemistry,Chemistry Advanced Book 1400,S. Sharma,Cambridge,ACC001400
Law,Law Advanced Book 1401,M. Khan,McGraw Hill,ACC001401
Political Science,Political Science Advanced Book 1402,P. Singh,Wiley,ACC001402
Agriculture,Agriculture Advanced Book 1403,R. Kumar,Wiley,ACC001403
Philosophy,Philosophy Advanced Book 1404,M. Khan,Cambridge,ACC001404
Economics,Economics Advanced Book 1405,D. Patel,Elsevier,ACC001405
Information Technology,Information Technology Advanced Book 1406,M. Khan,Pearson,ACC001406
Data Science,Data Science Advanced Book 1407,S. Sharma,Springer,ACC001407
Civil Engineering,Civil Engineering Advanced Book 1408,A. Iyer,Elsevier,ACC001408
Information Technology,Information Technology Advanced Book 1409,D. Patel,Oxford,ACC001409
Psychology,Psychology Advanced Book 1410,S. Sharma,McGraw Hill,ACC001410
Economics,Economics Advanced Book 1411,A. Iyer,Pearson,ACC001411
Commerce,Commerce Advanced Book 1412,R. Kumar,Springer,ACC001412
Nursing,Nursing Advanced Book 1413,D. Patel,McGraw Hill,ACC001413
Mechanical Engineering,Mechanical Engineering Advanced Book 1414,R. Kumar,Oxford,ACC001414
Pharmacy,Pharmacy Advanced Book 1415,A. Iyer,Elsevier,ACC001415
History,History Advanced Book 1416,V. Rao,Cambridge,ACC001416
Law,Law Advanced Book 1417,D. Patel,Wiley,ACC001417
Environmental Science,Environmental Science Advanced Book 1418,R. Kumar,Elsevier,ACC001418
Mechanical Engineering,Mechanical Engineering Advanced Book 1419,S. Sharma,Elsevier,ACC001419
Philosophy,Philosophy Advanced Book 1420,V. Rao,Wiley,ACC001420
Chemistry,Chemistry Advanced Book 1421,R. Kumar,Wiley,ACC001421
Environmental Science,Environmental Science Advanced Book 1422,P. Singh,Wiley,ACC001422
English,English Advanced Book 1423,M. Khan,Wiley,ACC001423
Agriculture,Agriculture Advanced Book 1424,A. Iyer,Cambridge,ACC001424
History,History Advanced Book 1425,M. Khan,Springer,ACC001425
Economics,Economics Advanced Book 1426,P. Singh,McGraw Hill,ACC001426
Chemistry,Chemistry Advanced Book 1427,A. Iyer,Wiley,ACC001427
Philosophy,Philosophy Advanced Book 1428,S. Sharma,Wiley,ACC001428
Mathematics,Mathematics Advanced Book 1429,V. Rao,Pearson,ACC001429
Tamil,Tamil Advanced Book 1430,A. Iyer,Wiley,ACC001430
Education,Education Advanced Book 1431,A. Iyer,Elsevier,ACC001431
Electrical Engineering,Electrical Engineering Advanced Book 1432,D. Patel,Springer,ACC001432
Economics,Economics Advanced Book 1433,P. Singh,Pearson,ACC001433
Pharmacy,Pharmacy Advanced Book 1434,J. Das,McGraw Hill,ACC001434
Computer Science,Computer Science Advanced Book 1435,D. Patel,McGraw Hill,ACC001435
Pharmacy,Pharmacy Advanced Book 1436,P. Singh,Wiley,ACC001436
Sociology,Sociology Advanced Book 1437,A. Iyer,Springer,ACC001437
Psychology,Psychology Advanced Book 1438,V. Rao,Oxford,ACC001438
Physics,Physics Advanced Book 1439,P. Singh,Elsevier,ACC001439
Chemistry,Chemistry Advanced Book 1440,J. Das,Wiley,ACC001440
Biotechnology,Biotechnology Advanced Book 1441,J. Das,Wiley,ACC001441
Economics,Economics Advanced Book 1442,M. Khan,Wiley,ACC001442
Economics,Economics Advanced Book 1443,V. Rao,Springer,ACC001443
Education,Education Advanced Book 1444,A. Iyer,McGraw Hill,ACC001444
Electrical Engineering,Electrical Engineering Advanced Book 1445,D. Patel,Cambridge,ACC001445
Management,Management Advanced Book 1446,D. Patel,Wiley,ACC001446
Information Technology,Information Technology Advanced Book 1447,P. Singh,Wiley,ACC001447
Information Technology,Information Technology Advanced Book 1448,D. Patel,McGraw Hill,ACC001448
Hindi,Hindi Advanced Book 1449,S. Sharma,Cambridge,ACC001449
Physics,Physics Advanced Book 1450,S. Sharma,McGraw Hill,ACC001450
Nursing,Nursing Advanced Book 1451,A. Iyer,Wiley,ACC001451
Hindi,Hindi Advanced Book 1452,R. Kumar,Pearson,ACC001452
Economics,Economics Advanced Book 1453,P. Singh,Springer,ACC001453
Computer Science,Computer Science Advanced Book 1454,V. Rao,Cambridge,ACC001454
Information Technology,Information Technology Advanced Book 1455,D. Patel,Cambridge,ACC001455
Pharmacy,Pharmacy Advanced Book 1456,R. Kumar,Elsevier,ACC001456
History,History Advanced Book 1457,V. Rao,McGraw Hill,ACC001457
Mechanical Engineering,Mechanical Engineering Advanced Book 1458,V. Rao,Pearson,ACC001458
History,History Advanced Book 1459,A. Iyer,Oxford,ACC001459
Biotechnology,Biotechnology Advanced Book 1460,P. Singh,Springer,ACC001460
Management,Management Advanced Book 1461,A. Iyer,Cambridge,ACC001461
Agriculture,Agriculture Advanced Book 1462,V. Rao,Oxford,ACC001462
Physics,Physics Advanced Book 1463,R. Kumar,Springer,ACC001463
Mathematics,Mathematics Advanced Book 1464,A. Iyer,Oxford,ACC001464
Data Science,Data Science Advanced Book 1465,J. Das,Cambridge,ACC001465
Commerce,Commerce Advanced Book 1466,J. Das,McGraw Hill,ACC001466
Electronics,Electronics Advanced Book 1467,S. Sharma,Wiley,ACC001467
Mathematics,Mathematics Advanced Book 1468,J. Das,Springer,ACC001468
Environmental Science,Environmental Science Advanced Book 1469,V. Rao,Wiley,ACC001469
Chemical Engineering,Chemical Engineering Advanced Book 1470,M. Khan,Pearson,ACC001470
Economics,Economics Advanced Book 1471,P. Singh,Oxford,ACC001471
Tamil,Tamil Advanced Book 1472,D. Patel,Elsevier,ACC001472
Mathematics,Mathematics Advanced Book 1473,D. Patel,Elsevier,ACC001473
Hindi,Hindi Advanced Book 1474,A. Iyer,Wiley,ACC001474
Commerce,Commerce Advanced Book 1475,S. Sharma,Pearson,ACC001475
History,History Advanced Book 1476,P. Singh,Pearson,ACC001476
Nursing,Nursing Advanced Book 1477,R. Kumar,Pearson,ACC001477
Chemistry,Chemistry Advanced Book 1478,R. Kumar,Oxford,ACC001478
Artificial Intelligence,Artificial Intelligence Advanced Book 1479,V. Rao,McGraw Hill,ACC001479
Architecture,Architecture Advanced Book 1480,A. Iyer,Oxford,ACC001480
Pharmacy,Pharmacy Advanced Book 1481,J. Das,Springer,ACC001481
Chemistry,Chemistry Advanced Book 1482,R. Kumar,Pearson,ACC001482
Law,Law Advanced Book 1483,R. Kumar,Springer,ACC001483
Philosophy,Philosophy Advanced Book 1484,D. Patel,Oxford,ACC001484
History,History Advanced Book 1485,J. Das,Oxford,ACC001485
Biotechnology,Biotechnology Advanced Book 1486,R. Kumar,Oxford,ACC001486
Sociology,Sociology Advanced Book 1487,M. Khan,Springer,ACC001487
Electrical Engineering,Electrical Engineering Advanced Book 1488,P. Singh,Cambridge,ACC001488
Artificial Intelligence,Artificial Intelligence Advanced Book 1489,P. Singh,Elsevier,ACC001489
Chemical Engineering,Chemical Engineering Advanced Book 1490,V. Rao,Cambridge,ACC001490
Commerce,Commerce Advanced Book 1491,A. Iyer,Elsevier,ACC001491
Hindi,Hindi Advanced Book 1492,V. Rao,Cambridge,ACC001492
Physics,Physics Advanced Book 1493,V. Rao,Springer,ACC001493
Education,Education Advanced Book 1494,S. Sharma,Pearson,ACC001494
History,History Advanced Book 1495,P. Singh,Cambridge,ACC001495
Economics,Economics Advanced Book 1496,A. Iyer,Oxford,ACC001496
Chemistry,Chemistry Advanced Book 1497,M. Khan,Elsevier,ACC001497
Mathematics,Mathematics Advanced Book 1498,M. Khan,Elsevier,ACC001498
Political Science,Political Science Advanced Book 1499,A. Iyer,Wiley,ACC001499
Education,Education Advanced Book 1500,J. Das,McGraw Hill,ACC001500
Management,Management Advanced Book 1501,J. Das,McGraw Hill,ACC001501
Electrical Engineering,Electrical Engineering Advanced Book 1502,M. Khan,Pearson,ACC001502
Philosophy,Philosophy Advanced Book 1503,D. Patel,Pearson,ACC001503
Physics,Physics Advanced Book 1504,V. Rao,Wiley,ACC001504
Political Science,Political Science Advanced Book 1505,R. Kumar,Springer,ACC001505
Physics,Physics Advanced Book 1506,R. Kumar,Cambridge,ACC001506
Agriculture,Agriculture Advanced Book 1507,R. Kumar,Elsevier,ACC001507
Economics,Economics Advanced Book 1508,S. Sharma,Oxford,ACC001508
Data Science,Data Science Advanced Book 1509,P. Singh,Oxford,ACC001509
Data Science,Data Science Advanced Book 1510,V. Rao,Wiley,ACC001510
Hindi,Hindi Advanced Book 1511,J. Das,McGraw Hill,ACC001511
Economics,Economics Advanced Book 1512,D. Patel,McGraw Hill,ACC001512
Education,Education Advanced Book 1513,S. Sharma,Wiley,ACC001513
Computer Science,Computer Science Advanced Book 1514,A. Iyer,Oxford,ACC001514
Environmental Science,Environmental Science Advanced Book 1515,A. Iyer,Elsevier,ACC001515
Biotechnology,Biotechnology Advanced Book 1516,V. Rao,Oxford,ACC001516
Data Science,Data Science Advanced Book 1517,S. Sharma,Springer,ACC001517
Management,Management Advanced Book 1518,R. Kumar,Springer,ACC001518
Hindi,Hindi Advanced Book 1519,M. Khan,Elsevier,ACC001519
Pharmacy,Pharmacy Advanced Book 1520,A. Iyer,Springer,ACC001520
Hindi,Hindi Advanced Book 1521,A. Iyer,Springer,ACC001521
Artificial Intelligence,Artificial Intelligence Advanced Book 1522,M. Khan,Springer,ACC001522
Psychology,Psychology Advanced Book 1523,V. Rao,Oxford,ACC001523
Chemistry,Chemistry Advanced Book 1524,A. Iyer,Cambridge,ACC001524
English,English Advanced Book 1525,S. Sharma,Oxford,ACC001525
Electrical Engineering,Electrical Engineering Advanced Book 1526,D. Patel,McGraw Hill,ACC001526
Philosophy,Philosophy Advanced Book 1527,S. Sharma,Wiley,ACC001527
Architecture,Architecture Advanced Book 1528,V. Rao,Wiley,ACC001528
Biotechnology,Biotechnology Advanced Book 1529,J. Das,Springer,ACC001529
Environmental Science,Environmental Science Advanced Book 1530,M. Khan,Cambridge,ACC001530
Psychology,Psychology Advanced Book 1531,S. Sharma,Pearson,ACC001531
Management,Management Advanced Book 1532,A. Iyer,Springer,ACC001532
Psychology,Psychology Advanced Book 1533,J. Das,McGraw Hill,ACC001533
Pharmacy,Pharmacy Advanced Book 1534,V. Rao,Wiley,ACC001534
Mechanical Engineering,Mechanical Engineering Advanced Book 1535,A. Iyer,Elsevier,ACC001535
Pharmacy,Pharmacy Advanced Book 1536,D. Patel,Springer,ACC001536
Philosophy,Philosophy Advanced Book 1537,R. Kumar,Pearson,ACC001537
Electrical Engineering,Electrical Engineering Advanced Book 1538,S. Sharma,Cambridge,ACC001538
Agriculture,Agriculture Advanced Book 1539,P. Singh,Oxford,ACC001539
Artificial Intelligence,Artificial Intelligence Advanced Book 1540,V. Rao,Cambridge,ACC001540
Education,Education Advanced Book 1541,M. Khan,Springer,ACC001541
Biotechnology,Biotechnology Advanced Book 1542,D. Patel,McGraw Hill,ACC001542
Information Technology,Information Technology Advanced Book 1543,D. Patel,Cambridge,ACC001543
Biotechnology,Biotechnology Advanced Book 1544,P. Singh,Oxford,ACC001544
Psychology,Psychology Advanced Book 1545,P. Singh,McGraw Hill,ACC001545
Mechanical Engineering,Mechanical Engineering Advanced Book 1546,D. Patel,Springer,ACC001546
Economics,Economics Advanced Book 1547,P. Singh,Elsevier,ACC001547
Artificial Intelligence,Artificial Intelligence Advanced Book 1548,M. Khan,Oxford,ACC001548
Management,Management Advanced Book 1549,R. Kumar,Springer,ACC001549
English,English Advanced Book 1550,A. Iyer,Pearson,ACC001550
Data Science,Data Science Advanced Book 1551,V. Rao,Pearson,ACC001551
Mechanical Engineering,Mechanical Engineering Advanced Book 1552,D. Patel,Cambridge,ACC001552
Electrical Engineering,Electrical Engineering Advanced Book 1553,S. Sharma,Oxford,ACC001553
Philosophy,Philosophy Advanced Book 1554,A. Iyer,Cambridge,ACC001554
Law,Law Advanced Book 1555,D. Patel,McGraw Hill,ACC001555
Mathematics,Mathematics Advanced Book 1556,S. Sharma,Pearson,ACC001556
Tamil,Tamil Advanced Book 1557,J. Das,Pearson,ACC001557
Artificial Intelligence,Artificial Intelligence Advanced Book 1558,A. Iyer,McGraw Hill,ACC001558
Economics,Economics Advanced Book 1559,J. Das,Wiley,ACC001559
Chemical Engineering,Chemical Engineering Advanced Book 1560,R. Kumar,Oxford,ACC001560
Architecture,Architecture Advanced Book 1561,R. Kumar,Springer,ACC001561
Pharmacy,Pharmacy Advanced Book 1562,V. Rao,Springer,ACC001562
Civil Engineering,Civil Engineering Advanced Book 1563,R. Kumar,Elsevier,ACC001563
Chemical Engineering,Chemical Engineering Advanced Book 1564,R. Kumar,Elsevier,ACC001564
Education,Education Advanced Book 1565,A. Iyer,Pearson,ACC001565
Sociology,Sociology Advanced Book 1566,M. Khan,Oxford,ACC001566
Architecture,Architecture Advanced Book 1567,D. Patel,Cambridge,ACC001567
Mathematics,Mathematics Advanced Book 1568,S. Sharma,Springer,ACC001568
Mathematics,Mathematics Advanced Book 1569,M. Khan,Springer,ACC001569
Economics,Economics Advanced Book 1570,D. Patel,Cambridge,ACC001570
Sociology,Sociology Advanced Book 1571,A. Iyer,Wiley,ACC001571
Law,Law Advanced Book 1572,S. Sharma,Springer,ACC001572
Nursing,Nursing Advanced Book 1573,M. Khan,Wiley,ACC001573
Pharmacy,Pharmacy Advanced Book 1574,P. Singh,McGraw Hill,ACC001574
Data Science,Data Science Advanced Book 1575,S. Sharma,Wiley,ACC001575
Information Technology,Information Technology Advanced Book 1576,S. Sharma,McGraw Hill,ACC001576
Commerce,Commerce Advanced Book 1577,P. Singh,Oxford,ACC001577
Law,Law Advanced Book 1578,V. Rao,Pearson,ACC001578
Computer Science,Computer Science Advanced Book 1579,M. Khan,Wiley,ACC001579
Chemistry,Chemistry Advanced Book 1580,S. Sharma,Elsevier,ACC001580
Hindi,Hindi Advanced Book 1581,P. Singh,Pearson,ACC001581
Economics,Economics Advanced Book 1582,M. Khan,Cambridge,ACC001582
Physics,Physics Advanced Book 1583,M. Khan,Springer,ACC001583
Physics,Physics Advanced Book 1584,A. Iyer,Oxford,ACC001584
History,History Advanced Book 1585,V. Rao,Elsevier,ACC001585
Computer Science,Computer Science Advanced Book 1586,S. Sharma,Pearson,ACC001586
Psychology,Psychology Advanced Book 1587,M. Khan,Elsevier,ACC001587
Chemical Engineering,Chemical Engineering Advanced Book 1588,M. Khan,Wiley,ACC001588
Artificial Intelligence,Artificial Intelligence Advanced Book 1589,S. Sharma,Elsevier,ACC001589
Environmental Science,Environmental Science Advanced Book 1590,M. Khan,McGraw Hill,ACC001590
Environmental Science,Environmental Science Advanced Book 1591,P. Singh,Cambridge,ACC001591
Information Technology,Information Technology Advanced Book 1592,P. Singh,Pearson,ACC001592
Philosophy,Philosophy Advanced Book 1593,S. Sharma,Pearson,ACC001593
Agriculture,Agriculture Advanced Book 1594,V. Rao,Wiley,ACC001594
Pharmacy,Pharmacy Advanced Book 1595,P. Singh,McGraw Hill,ACC001595
Psychology,Psychology Advanced Book 1596,D. Patel,Oxford,ACC001596
Management,Management Advanced Book 1597,V. Rao,McGraw Hill,ACC001597
Economics,Economics Advanced Book 1598,R. Kumar,Cambridge,ACC001598
Psychology,Psychology Advanced Book 1599,P. Singh,Elsevier,ACC001599
Commerce,Commerce Advanced Book 1600,S. Sharma,Oxford,ACC001600
Computer Science,Computer Science Advanced Book 1601,V. Rao,Oxford,ACC001601
Mechanical Engineering,Mechanical Engineering Advanced Book 1602,D. Patel,Elsevier,ACC001602
Biotechnology,Biotechnology Advanced Book 1603,J. Das,Oxford,ACC001603
Chemical Engineering,Chemical Engineering Advanced Book 1604,D. Patel,Springer,ACC001604
Political Science,Political Science Advanced Book 1605,V. Rao,McGraw Hill,ACC001605
Pharmacy,Pharmacy Advanced Book 1606,J. Das,Pearson,ACC001606
Hindi,Hindi Advanced Book 1607,M. Khan,McGraw Hill,ACC001607
Artificial Intelligence,Artificial Intelligence Advanced Book 1608,M. Khan,Springer,ACC001608
Education,Education Advanced Book 1609,S. Sharma,Oxford,ACC001609
Mathematics,Mathematics Advanced Book 1610,P. Singh,Pearson,ACC001610
Nursing,Nursing Advanced Book 1611,S. Sharma,Elsevier,ACC001611
Mathematics,Mathematics Advanced Book 1612,P. Singh,McGraw Hill,ACC001612
Tamil,Tamil Advanced Book 1613,D. Patel,Oxford,ACC001613
Data Science,Data Science Advanced Book 1614,S. Sharma,Pearson,ACC001614
Sociology,Sociology Advanced Book 1615,A. Iyer,Springer,ACC001615
Biotechnology,Biotechnology Advanced Book 1616,M. Khan,Oxford,ACC001616
Philosophy,Philosophy Advanced Book 1617,S. Sharma,Springer,ACC001617
Philosophy,Philosophy Advanced Book 1618,D. Patel,Springer,ACC001618
Information Technology,Information Technology Advanced Book 1619,S. Sharma,Cambridge,ACC001619
Chemical Engineering,Chemical Engineering Advanced Book 1620,P. Singh,Elsevier,ACC001620
Electronics,Electronics Advanced Book 1621,M. Khan,Pearson,ACC001621
Data Science,Data Science Advanced Book 1622,V. Rao,Oxford,ACC001622
Management,Management Advanced Book 1623,R. Kumar,Cambridge,ACC001623
Hindi,Hindi Advanced Book 1624,V. Rao,Springer,ACC001624
Environmental Science,Environmental Science Advanced Book 1625,P. Singh,Elsevier,ACC001625
Nursing,Nursing Advanced Book 1626,S. Sharma,Cambridge,ACC001626
Commerce,Commerce Advanced Book 1627,V. Rao,Oxford,ACC001627
Pharmacy,Pharmacy Advanced Book 1628,S. Sharma,McGraw Hill,ACC001628
Electronics,Electronics Advanced Book 1629,P. Singh,McGraw Hill,ACC001629
Civil Engineering,Civil Engineering Advanced Book 1630,A. Iyer,Pearson,ACC001630
Nursing,Nursing Advanced Book 1631,J. Das,Elsevier,ACC001631
Commerce,Commerce Advanced Book 1632,D. Patel,McGraw Hill,ACC001632
Mechanical Engineering,Mechanical Engineering Advanced Book 1633,S. Sharma,Cambridge,ACC001633
Chemistry,Chemistry Advanced Book 1634,M. Khan,Elsevier,ACC001634
Chemistry,Chemistry Advanced Book 1635,J. Das,Oxford,ACC001635
Mathematics,Mathematics Advanced Book 1636,P. Singh,Oxford,ACC001636
Chemical Engineering,Chemical Engineering Advanced Book 1637,J. Das,McGraw Hill,ACC001637
Tamil,Tamil Advanced Book 1638,D. Patel,Wiley,ACC001638
Education,Education Advanced Book 1639,M. Khan,Pearson,ACC001639
Artificial Intelligence,Artificial Intelligence Advanced Book 1640,S. Sharma,Cambridge,ACC001640
Data Science,Data Science Advanced Book 1641,J. Das,McGraw Hill,ACC001641
Tamil,Tamil Advanced Book 1642,A. Iyer,Elsevier,ACC001642
Education,Education Advanced Book 1643,V. Rao,Springer,ACC001643
Nursing,Nursing Advanced Book 1644,S. Sharma,McGraw Hill,ACC001644
Political Science,Political Science Advanced Book 1645,M. Khan,McGraw Hill,ACC001645
Electronics,Electronics Advanced Book 1646,M. Khan,Springer,ACC001646
Commerce,Commerce Advanced Book 1647,D. Patel,McGraw Hill,ACC001647
Mathematics,Mathematics Advanced Book 1648,M. Khan,Oxford,ACC001648
Commerce,Commerce Advanced Book 1649,D. Patel,Wiley,ACC001649
English,English Advanced Book 1650,S. Sharma,Wiley,ACC001650
Information Technology,Information Technology Advanced Book 1651,P. Singh,Oxford,ACC001651
Management,Management Advanced Book 1652,S. Sharma,Springer,ACC001652
Pharmacy,Pharmacy Advanced Book 1653,D. Patel,Oxford,ACC001653
Agriculture,Agriculture Advanced Book 1654,M. Khan,Oxford,ACC001654
Architecture,Architecture Advanced Book 1655,M. Khan,Cambridge,ACC001655
Artificial Intelligence,Artificial Intelligence Advanced Book 1656,V. Rao,McGraw Hill,ACC001656
Electronics,Electronics Advanced Book 1657,A. Iyer,Cambridge,ACC001657
Artificial Intelligence,Artificial Intelligence Advanced Book 1658,V. Rao,Cambridge,ACC001658
Architecture,Architecture Advanced Book 1659,R. Kumar,Cambridge,ACC001659
Electrical Engineering,Electrical Engineering Advanced Book 1660,R. Kumar,Wiley,ACC001660
Pharmacy,Pharmacy Advanced Book 1661,P. Singh,Springer,ACC001661
Electrical Engineering,Electrical Engineering Advanced Book 1662,V. Rao,Pearson,ACC001662
Political Science,Political Science Advanced Book 1663,A. Iyer,Cambridge,ACC001663
Economics,Economics Advanced Book 1664,A. Iyer,Pearson,ACC001664
Commerce,Commerce Advanced Book 1665,R. Kumar,Pearson,ACC001665
Pharmacy,Pharmacy Advanced Book 1666,A. Iyer,McGraw Hill,ACC001666
Chemical Engineering,Chemical Engineering Advanced Book 1667,R. Kumar,Wiley,ACC001667
Physics,Physics Advanced Book 1668,D. Patel,McGraw Hill,ACC001668
Agriculture,Agriculture Advanced Book 1669,A. Iyer,Wiley,ACC001669
History,History Advanced Book 1670,S. Sharma,Cambridge,ACC001670
Information Technology,Information Technology Advanced Book 1671,A. Iyer,Wiley,ACC001671
Chemical Engineering,Chemical Engineering Advanced Book 1672,S. Sharma,Wiley,ACC001672
Information Technology,Information Technology Advanced Book 1673,P. Singh,Cambridge,ACC001673
Data Science,Data Science Advanced Book 1674,V. Rao,Elsevier,ACC001674
Commerce,Commerce Advanced Book 1675,V. Rao,Oxford,ACC001675
Nursing,Nursing Advanced Book 1676,A. Iyer,Oxford,ACC001676
Architecture,Architecture Advanced Book 1677,V. Rao,Wiley,ACC001677
Biotechnology,Biotechnology Advanced Book 1678,V. Rao,Wiley,ACC001678
Data Science,Data Science Advanced Book 1679,R. Kumar,Elsevier,ACC001679
Sociology,Sociology Advanced Book 1680,J. Das,Springer,ACC001680
Information Technology,Information Technology Advanced Book 1681,J. Das,Oxford,ACC001681
Electrical Engineering,Electrical Engineering Advanced Book 1682,J. Das,Pearson,ACC001682
Information Technology,Information Technology Advanced Book 1683,A. Iyer,Wiley,ACC001683
Electrical Engineering,Electrical Engineering Advanced Book 1684,A. Iyer,Oxford,ACC001684
Electrical Engineering,Electrical Engineering Advanced Book 1685,P. Singh,Wiley,ACC001685
Computer Science,Computer Science Advanced Book 1686,D. Patel,Oxford,ACC001686
English,English Advanced Book 1687,D. Patel,Wiley,ACC001687
Law,Law Advanced Book 1688,P. Singh,Oxford,ACC001688
Biotechnology,Biotechnology Advanced Book 1689,V. Rao,Oxford,ACC001689
Agriculture,Agriculture Advanced Book 1690,M. Khan,Cambridge,ACC001690
History,History Advanced Book 1691,M. Khan,Elsevier,ACC001691
Economics,Economics Advanced Book 1692,S. Sharma,Wiley,ACC001692
Information Technology,Information Technology Advanced Book 1693,D. Patel,Pearson,ACC001693
Hindi,Hindi Advanced Book 1694,A. Iyer,McGraw Hill,ACC001694
Data Science,Data Science Advanced Book 1695,S. Sharma,McGraw Hill,ACC001695
Computer Science,Computer Science Advanced Book 1696,S. Sharma,Oxford,ACC001696
Commerce,Commerce Advanced Book 1697,J. Das,McGraw Hill,ACC001697
Agriculture,Agriculture Advanced Book 1698,J. Das,Oxford,ACC001698
Agriculture,Agriculture Advanced Book 1699,D. Patel,Cambridge,ACC001699
Law,Law Advanced Book 1700,V. Rao,Springer,ACC001700
Architecture,Architecture Advanced Book 1701,A. Iyer,Cambridge,ACC001701
Psychology,Psychology Advanced Book 1702,J. Das,Elsevier,ACC001702
